FD ACL,FD AHD,TR ACL,TR AHD
1.00,0.00,2.00,5.93
2.00,10.54,9.20,5.92
10.44,2.88,15.74,6.17
22.00,10.50,70.76,5.96
1.00,0.00,11.11,5.76
1.99,7.09,64.42,5.99
9.98,4.00,439.02,5.89
14.64,11.41,341.45,6.07
1.00,0.00,14.24,5.77
12.25,7.86,405.28,6.10
11.34,4.60,69.08,5.78
9.22,7.56,6709.38,6.04
1.00,0.00,23568.75,5.91
1.01,0.12,7220.34,6.00
8.12,4.76,4436.89,6.01
11.94,6.04,60.00,6.01
10.82,2.84,13.64,6.02
22.44,10.42,89.96,6.01
9.89,5.95,29.67,5.92
2.00,12.00,20.16,6.06
10.83,3.60,423.46,6.10
18.82,11.18,354.89,5.91
2.41,2.68,465.34,6.01
2.00,12.00,104.93,5.92
10.68,4.48,791.33,5.99
18.75,8.54,4135.33,5.99
15.03,7.12,5270.07,5.99
23.64,9.76,3925.25,5.98
1.73,1.50,4192.57,6.00
2.00,4.78,7197.63,5.99
89.95,4.51,5269.10,6.00
16.62,11.30,6361.55,6.00
1.00,0.00,8.96,5.87
2.00,9.66,178.37,5.95
11.37,5.60,31245.91,6.12
18.33,9.11,11557.50,6.03
1.00,0.00,28.25,5.97
6.04,8.80,690.25,5.88
11.76,4.52,6971.84,5.91
23.36,9.70,7682.81,6.00
1.11,0.10,398.93,6.06
8.19,9.62,2841.76,6.00
11.32,5.24,6115.94,5.98
8.34,7.22,6894.74,6.00
1.00,0.00,6077.46,5.90
44.06,6.38,5644.87,5.99
10.98,4.40,1685.21,6.06
9.33,7.74,5986.78,6.02
11.24,6.12,23285.15,6.12
17.97,9.05,11924.19,5.88
2.00,12.00,40.36,6.00
2.00,12.00,3.00,6.15
11.64,4.14,5805.39,6.07
23.44,9.72,7683.14,5.94
5.49,8.37,4471.32,6.08
2.00,12.00,334.50,5.85
9.73,9.02,4533.22,6.00
5.50,11.30,6556.71,6.00
8.09,9.10,6016.24,6.02
16.90,9.02,498.24,5.96
11.62,5.93,38.20,6.00
19.04,8.58,5692.10,6.00
7.04,8.20,4955.41,6.01
22.34,10.53,7193.72,6.00
1.00,0.00,13.79,5.96
12.68,7.70,454.33,6.00
10.99,4.60,810.20,6.00
18.66,8.54,3954.81,6.01
1.00,0.00,25736.90,6.08
1.00,0.00,7443.26,5.99
1.66,1.36,7468.69,6.00
2.00,4.44,6392.88,6.00
1.00,0.00,28.56,6.04
